"Archive","Size (#Files) (1)","Location","Access","Status","Time Period","Variables","Temporal Resolution","Spatial Resolution","More Information"
"-------","-----------------","--------","------","------","-----------","---------","-------------------","------------------","----------------"
"*'Raw' Archives (as downloaded from original source)*","","","","","","","","",""
"E-OBS","660G","IAC","direct","different versions, updated irregularly","1950 - present","TG: mean temperature, TN: minimum temperature, TX: maximum temperature, RR: precipitation sum, PP: mean sea level pressure, FG: mean wind speed, HU: mean relative humidity, QQ: global radiation","daily","0.1° and 0.25°","[Link](https://www.ecad.eu/download/ensembles/download.php), [Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/insitu-gridded-observations-europe?tab=overview)"
"MERRA2","15T","IAC","direct","updated","1980 - present","many, temperature, precipitation, radiation, sea level pressure etc.","hourly, sst monthly","0.5 lat x 0.625 lon (~50km)","[Link](https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/), [Link](https://climatedataguide.ucar.edu/climate-data/nasas-merra2-reanalysis)"
"ERAInterim","5T","CSCS (2)","direct","static","1979-2019","W_SO_REL, T_SO, W_SNOW, FR_LAND, T_SKIN, T_SNOW, FIS, T, U, V, QV, PS, QC, QI, FR_SEA_ICE","6-hourly","0.7° x 0.7° (80 km)","global"
"ERA5","50T","CSCS (3)","direct","updated","1979 - present","FIS, FR_LAND, FR_SEA_ICE, PS, QC, QI, QR, QS, QV, T, T_SKIN, T_SNOW, T_SO, U, V, W_SNOW, W_SO_REL","hourly","0.28125° x 0.28125° (31 km)","[List of additional ERA-5 datasets](Datasets.ERA-5)"
"ERA5","17T","IAC (4)","direct","updated","1940 - present","2t, tp, 10si, mn2t, mx2t","monthly, hourly (variable dependent)","0.25° x 0.25°","[Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-monthly-means?tab=overview), [Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=overview)"
"ERA5-Land","40T","IAC (5)","direct","updated","1950 - present","2t, snom","hourly (variable dependent)","0.1° x 0.1°","[Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-land?tab=form)"
"CERRA","16T","IAC (6)","direct","updated","1985 - present","2t, t, r, ...","3-hourly","5x5km","sub-daily regional reanalysis data for Europe, [Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-cerra-single-levels?tab=overview), [Link](https://docs.google.com/spreadsheets/d/1xfM4TZCGXZm4M4VLQW3XPyAk6IX9vjlwj_p6ymX4aDU/edit#gid=0)"
"CERRA-Land","12T","IAC (7)","direct","updated","1985 - present","snom, sro, tp, ...","3-hourly","5x5km","[Link](https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-cerra-land?tab=overview), [Link](https://docs.google.com/spreadsheets/d/1e58ps_yBmxUG0jvL8ZmNNr7Zz_UXuqIZsz4MdRAzvbM/edit#gid=0)"

